net,length_um
_05815_,401.42
net43,400.66
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[2\],400.56
_00604_,400.41
u_core0.ROW\[18\].COL\[1\].u_pe.sum_out\[10\],400.395
u_core0.ROW\[3\].COL\[0\].u_pe.sum_out\[1\],399.72
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[0\],399.66
clknet_3_0_0_clk,399.38
_21455_,399.03
_04906_,398.9
_08716_,398.9
_22877_,398.88
u_core0.ROW\[3\].COL\[0\].u_pe.sum_out\[0\],398.84
_00605_,398.64
u_core0.ROW\[28\].COL\[0\].u_pe.b_out\[5\],397.87
net758,397.635
clknet_5_8__leaf_clk,397.35
net313,397.33
u_core0.ROW\[5\].COL\[1\].u_pe.b_out\[2\],396.92
_20758_,396.87
_13879_,396.64
net603,396.13
net684,395.86
net44,395.71
_04899_,395.32
net66,394.95
u_core0.ROW\[23\].COL\[1\].u_pe.sum_out\[4\],394.66
net302,393.3
clknet_2_0_0_clk,392.77
_22625_,392.68
clknet_3_1_0_clk,392.63
net254,391.72
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[13\],391.66
_08808_,391.25
_22626_,391.22
_07719_,390.98
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[9\],390.94
_08826_,390.675
_22816_,390.35
_08899_,389.41
_09213_,388.91
u_core0.ROW\[21\].COL\[1\].u_pe.b_out\[6\],388.83
_10938_,388.72
net245,387.91
_10453_,387.67
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[0\],386.94
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[4\],386.94
_07711_,386.84
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[9\],386.84
net631,386.48
_09144_,386.32
_22537_,385.93
_00784_,385.62
u_core0.ROW\[28\].COL\[0\].u_pe.b_out\[0\],385.315
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[11\],385.31
_09031_,384.52
_08868_,383.99
_20775_,383.76
_24089_,383.63
clknet_5_19__leaf_clk,382
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[6\],381.95
_21909_,381.78
_26636_,381.615
clknet_5_4__leaf_clk,381.57
_00977_,381.32
_00746_,380.94
u_core0.ROW\[14\].COL\[1\].u_pe.sum_out\[8\],380.76
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[7\],380.52
u_core0.ROW\[5\].COL\[1\].u_pe.b_out\[7\],380.03
_00916_,380.015
net83,379.665
_12642_,379.26
_00127_,379.245
net632,379.19
u_core0.ROW\[22\].COL\[0\].u_pe.b_out\[0\],379.17
u_core0.ROW\[28\].COL\[0\].u_pe.b_out\[7\],378.87
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[3\],378.61
_10553_,378.03
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[8\],377.54
_17294_,376.41
_01929_,376.22
u_core0.ROW\[7\].COL\[1\].u_pe.sum_out\[11\],375.96
u_core0.A_inputs\[102\],375.65
_08852_,375.43
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[1\],374.68
_02000_,374.47
net335,374.415
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[10\],374.41
_25253_,374.36
_20503_,373.985
u_core0.ROW\[3\].COL\[0\].u_pe.sum_out\[8\],373.7
_00978_,373.48
_00839_,373.22
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[5\],373.08
net723,372.9
_08870_,372.37
u_core0.ROW\[5\].COL\[0\].u_pe.b_out\[5\],372.21
_00776_,372
_22876_,372
_09092_,371.93
_00778_,371.66
_21448_,371.62
_07236_,370.695
clknet_5_7__leaf_clk,370.58
_21466_,370.49
net114,370.43
_13281_,370.27
net882,370.08
_08752_,369.92
_15235_,369.62
clknet_5_16__leaf_clk,369.56
_21737_,369.31
_21777_,369.07
mem0_rdata\[5\],368.75
u_core0.ROW\[14\].COL\[0\].u_pe.b_out\[1\],368.43
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[4\],368.36
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[0\],368.05
_09762_,367.52
u_core0.ROW\[28\].COL\[1\].u_pe.b_out\[7\],367.06
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[5\],367
_21472_,366.99
_16405_,366.78
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[6\],366.44
_21322_,366.365
_08683_,366.16
_00777_,365.97
_01018_,365.96
_21670_,365.55
u_core0.ROW\[3\].COL\[0\].u_pe.sum_out\[2\],365.47
_00849_,365.395
_10499_,365.29
u_core0.ROW\[18\].COL\[1\].u_pe.b_out\[3\],365.24
_08806_,365.23
_18030_,364.96
_25213_,364.37
_14306_,364.32
_22925_,364.19
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[0\],363.76
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[10\],363.69
u_core0.ROW\[3\].COL\[0\].u_pe.sum_out\[7\],363.02
_08695_,362.965
net193,362.96
_22682_,362.95
u_core0.ROW\[11\].COL\[0\].u_pe.sum_out\[1\],362.92
net181,362.87
net46,362.72
clknet_5_26__leaf_clk,362.66
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[7\],362.32
_02034_,362.09
net122,361.9
u_core0.ROW\[18\].COL\[1\].u_pe.b_out\[1\],361.77
_22536_,361.71
net545,361.17
u_core0.ROW\[18\].COL\[1\].u_pe.sum_out\[11\],361.08
_09034_,361.04
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[5\],360.88
_26631_,360.59
u_core0.ROW\[19\].COL\[0\].u_pe.sum_out\[0\],360.53
_21433_,360.51
u_core0.ROW\[6\].COL\[0\].u_pe.b_out\[1\],360.48
_21473_,360.24
net613,359.04
_07243_,358.39
_17401_,358.24
_20495_,358.18
u_core0.ROW\[24\].COL\[0\].u_pe.b_out\[2\],358.08
net258,357.71
net184,357.2
_22471_,356.88
u_core0.ROW\[18\].COL\[0\].u_pe.b_out\[5\],356.83
_00616_,356.78
_21481_,356.68
_15241_,356.375
u_core0.ROW\[26\].COL\[0\].u_pe.b_out\[4\],355.585
mem0_rdata\[2\],355.47
_00835_,355
u_core0.ROW\[3\].COL\[1\].u_pe.sum_out\[1\],354.06
net413,354.055
_09469_,353.72
_21028_,353.475
_21514_,353.36
_11847_,352.015
_22643_,351.97
_08828_,351.94
clknet_2_1_0_clk,351.25
_09145_,351.24
net152,351.1
u_core0.ROW\[19\].COL\[1\].u_pe.sum_out\[11\],350.44
clknet_5_0__leaf_clk,350.4
net609,350.33
